Cluster,Feature_set_index,Feature_set_code,Model,train_rmse,val_rmse,train_r2,val_r2,overfit,bias,best_params,grid_best_score
all_data,1,G1,LR,0.4949733985042735,0.5179534835166268,0.027164760482342842,0.0328915192006779,-0.0057267587183350566,-0.022674151891735588,,
all_data,1,G1,RF,0.3665234501417168,0.4925048451488293,0.4665679476852861,0.12559085734994402,0.34097709033534207,-0.017696420155638874,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.4532231529329653
all_data,1,G1,XGB,0.3729416073554447,0.4789580820690614,0.4477226247761009,0.17303203295593506,0.27469059182016586,-0.01856854364885579,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.4501831764766346
all_data,2,G1 + Physicochemical,LR,0.47172614256829204,0.532886846946934,0.11640049133478947,-0.023678723512146727,0.1400792148469362,-0.02157026372573533,,
all_data,2,G1 + Physicochemical,RF,0.24023584960058086,0.36761395568859934,0.7708334598333362,0.5128332319222572,0.258000227911079,-0.0191688625995746,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.4121156814213663
all_data,2,G1 + Physicochemical,XGB,0.22144763946332724,0.3100662227274129,0.8052768053190444,0.6534207221393036,0.15185608317974086,-0.011402301725374186,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.405906038372466
all_data,3,G1 + Fps,LR,0.3772106204016418,0.4707466861922559,0.43500656792322456,0.2011445210128504,0.23386204691037416,-0.012426057533171338,,
all_data,3,G1 + Fps,RF,0.2945220372298591,0.348797609136441,0.6555619139466657,0.5614282296592586,0.0941336842874071,-0.018133063801238754,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.40028488337738105
all_data,3,G1 + Fps,XGB,0.2318781367117604,0.30521518335244807,0.7865013273258038,0.6641804742451919,0.12232085308061191,-0.009145065717819029,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.398423052790976
all_data,4,G1 + PCs,LR,0.4558004545085926,0.5215220149799215,0.17505483134788768,0.019519485500566258,0.15553534584732143,-0.018825459550348412,,
all_data,4,G1 + PCs,RF,0.2425304296387267,0.3356443061471138,0.766434847231629,0.5938819954300323,0.17255285180159674,-0.014396759045480644,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.4028840735370474
all_data,4,G1 + PCs,XGB,0.2719375714546483,0.3391722366789877,0.7063608183229713,0.5852997798281183,0.12106103849485295,-0.013790875910887943,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.40084580891849764
all_data,5,G1 + Physicochemical + Fps,LR,0.3758929239186031,0.47162949967248574,0.4389470164057524,0.1981454487236468,0.2408015676821056,-0.012268459843175717,,
all_data,5,G1 + Physicochemical + Fps,RF,0.2918629237116795,0.36032554823606056,0.66175340538687,0.5319591198707534,0.1297942855161166,-0.019485639866237473,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.40685145282527335
all_data,5,G1 + Physicochemical + Fps,XGB,0.20068624602354135,0.31995818445647306,0.840077049354115,0.6309543226540371,0.20912272670007792,-0.013211221203667039,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.4034969848708432
all_data,6,G1 + Physicochemical + PCs,LR,0.44611948235902527,0.5285912911201349,0.20972552522250243,-0.0072416651633755436,0.21696719038587797,-0.019448554587414717,,
all_data,6,G1 + Physicochemical + PCs,RF,0.24387963559351825,0.3584440485597861,0.7638289554389555,0.5368342646957633,0.22699469074319212,-0.01864914459694513,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.4087537750992532
all_data,6,G1 + Physicochemical + PCs,XGB,0.2682649082675348,0.3332052289573528,0.7142387688813576,0.5997629476289273,0.11447582125243028,-0.01444917478352386,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.3967722279058217
all_data,7,G1 + Fps + PCs,LR,0.3772106204016418,0.47074668619225574,0.43500656792322456,0.20114452101285096,0.2338620469103736,-0.01242605753317143,,
all_data,7,G1 + Fps + PCs,RF,0.2558144942029717,0.34327870716476017,0.7401481155478427,0.5751971644347906,0.16495095111305202,-0.01725909522936922,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.40129594494488535
all_data,7,G1 + Fps + PCs,XGB,0.2798331998128937,0.3369646402833177,0.6890618196708467,0.590680593764451,0.09838122590639564,-0.014728230528787002,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.39754675321737815
all_data,8,G1 + Physicochemical + Fps + PCs,LR,0.3758929239186031,0.4716294996724889,0.4389470164057524,0.19814544872363593,0.24080156768211647,-0.012268459843176233,,
all_data,8,G1 + Physicochemical + Fps + PCs,RF,0.25523627827749734,0.359718775135624,0.7413214712107808,0.5335341150374805,0.20778735617330035,-0.019784838717310734,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.40578899138781227
all_data,8,G1 + Physicochemical + Fps + PCs,XGB,0.17725070115313693,0.31470640332239846,0.8752468560648237,0.6429698977116138,0.23227695835320983,-0.010411635631283481,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.39311108271831996
all_data,9,G2,LR,0.48118460473033026,0.5372842425716728,0.08061159287474906,-0.04064327685090752,0.12125486972565658,-0.019579708956485406,,
all_data,9,G2,RF,0.3545190407893344,0.48163412003800454,0.5009377655342366,0.16376533509615288,0.33717243043808376,-0.01852819591877935,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.4514096606330463
all_data,9,G2,XGB,0.3726131691215777,0.47108016587321483,0.4486949439289153,0.20001229241319374,0.24868265151572155,-0.021071927825786294,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.450878618094485
all_data,10,G2 + Physicochemical,LR,0.4566893168455107,0.5474509244122703,0.17183422173380924,-0.08039872268274406,0.2522329444165533,-0.022552105456467828,,
all_data,10,G2 + Physicochemical,RF,0.27702498666775854,0.38431667601565317,0.6952712284622602,0.4675582107921623,0.22771301767009788,-0.01648350440831192,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.41249936248912306
all_data,10,G2 + Physicochemical,XGB,0.15616893010262903,0.33581060942083146,0.9031577556961886,0.5934794533084383,0.3096783023877503,-0.009890901117160865,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.40362316601159437
all_data,11,G2 + Fps,LR,0.37710052451138265,0.47014672540922336,0.43533632734100003,0.20317948611536263,0.2321568412256374,-0.0125545396809085,,
all_data,11,G2 + Fps,RF,0.29442590988781403,0.345328831935303,0.6557867155591062,0.5701080086961671,0.0856787068629391,-0.017840204503563096,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3991743413981068
all_data,11,G2 + Fps,XGB,0.2602448611176064,0.32035024889980995,0.7310695982318554,0.6300493397926821,0.10102025843917328,-0.012430543215046804,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.4020869259220758
all_data,12,G2 + PCs,LR,0.4464509319905149,0.5208343344414783,0.20855080186671338,0.02210350998991273,0.18644729187680065,-0.018281480338865255,,
all_data,12,G2 + PCs,RF,0.24251105250607444,0.33526520952862054,0.7664721674322985,0.5947988649540458,0.17167330247825274,-0.014463872204898101,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.40206102157760526
all_data,12,G2 + PCs,XGB,0.27347790774936415,0.33932923274304644,0.7030248756129442,0.5849157780526584,0.11810909756028587,-0.015138763697949413,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.40319174454414775
all_data,13,G2 + Physicochemical + Fps,LR,0.3756773374863727,0.47039499415002944,0.4395903949716248,0.20233771546173396,0.23725267950989082,-0.01230658813468636,,
all_data,13,G2 + Physicochemical + Fps,RF,0.2919202046013133,0.36171944846827836,0.6616206241011926,0.5283309331574081,0.1332896909437845,-0.019870299316586147,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.40759779437132804
